index,inchi,preferred_name,formula_flat,TC [K],PC [Pa],DC [mol/m^3],TTRP [K],PTRP [Pa],MM [kg/mol],ACF [-],DIPOLE [debye],TNBP [K]
0,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",butane,C4H10,425.125,3796000.0,3922.769613,134.895,0.6656,0.0581222,0.201,0.05,272.66
1,InChI=1S/CO2/c2-1-3,carbon dioxide,CO2,304.1282,7377300.0,10624.9063,216.592,517950.00000000006,0.0440098,0.22394,0.0,194.686
2,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",pentane,C5H12,469.7,3367500.0,3210.0,143.47,0.078028,0.07214878,0.251,0.07,309.209
3,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",propane,C3H8,369.89,4251200.0,5000.0,85.525,0.000172,0.0440956199999999,0.1521,0.084,231.036
4,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",2-methylpropane,C4H10,407.81,3629000.0,3879.756788,113.73,0.02289,0.0581222,0.184,0.132,261.401
5,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,"1,2-dichloroethane",C2H4Cl2,561.6,5226120.0,4330.0,237.52,240.0,0.0989592,0.268,1.44,356.65
6,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3","1,1-difluoroethane",C2H4F2,386.411,4516750.0,5571.45,154.56,64.13000000000001,0.066051,0.27521,2.262,249.127
7,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,chlorobenzene,C6H5Cl,632.35,4520600.0,3240.0,227.9,7.14,0.112557,0.2532,1.69,405.21
8,"InChI=1S/C2H3ClF2/c1-2(3,4)5/h1H3","1-chloro-1,1-difluoroethane",C2H3ClF2,410.26,4055000.0,4438.0,142.72,3.632,0.10049503,0.2321,2.14,264.03
9,InChI=1S/C2H6/c1-2/h1-2H3,ethane,C2H6,305.322,4872200.0,6856.886685,90.368,1.142,0.03006904,0.0995,0.0,184.569
10,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",2-methylbutane,C5H12,460.35,3378000.0,3271.0,112.65,8.952e-05,0.07214878,0.2274,0.11,300.98
11,"InChI=1S/C2H5F/c1-2-3/h2H2,1H3",fluoroethane,C2H5F,375.25,5046000.0,6283.9,130.0,5.941,0.0480595,0.22,1.9397,235.614
12,InChI=1S/C2H6O/c1-3-2/h1-2H3,dimethyl ether,C2H6O,400.378,5336800.0,5940.0,131.66,2.21,0.04606844,0.196,1.301,248.368
13,InChI=1S/CH3Cl/c1-2/h1H3,chloromethane,CH3Cl,416.3,6689899.999999999,7194.232999999999,175.51,789.0,0.05048752,0.15,1.871,249.173
14,InChI=1S/H3N/h1H3,ammonia,H3N,405.56,11363400.0,13696.0,195.49,6054.38,0.01703052,0.256,1.47,239.832
15,InChI=1S/CHF3/c2-1(3)4/h1H,trifluoromethane,CHF3,299.293,4832000.0,7519.999999999999,118.02,58.04,0.07001385,0.263,1.649,191.132
16,"InChI=1S/C3H2F6/c4-1(2(5)6)3(7,8)9/h1-2H","1,1,1,2,3,3-hexafluoropropane",C3H2F6,412.44,3420000.0,3716.16644,170.0,20.0,0.1520384,0.369,1.129,279.322
17,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2","1,1,1,2-tetrafluoroethane",C2H2F4,374.21,4059280.0,5017.053,169.85,389.6,0.102032,0.32684,2.058,247.076
18,"InChI=1S/C2HF5/c3-1(4)2(5,6)7/h1H",pentafluoroethane,C2HF5,339.173,3617699.999999999,4779.0,172.52,2914.0,0.1200214,0.3052,1.563,225.06
19,"InChI=1S/C2H3F3/c1-2(3,4)5/h1H3","1,1,1-trifluoroethane",C2H3F3,345.857,3761000.0,5128.45,161.34,1074.9,0.084041,0.2615,2.34,225.91
20,"InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H","1,1,1,2,3,3,3-heptafluoropropane",C3HF7,374.9,2925000.0,3495.0,146.35,7.331,0.17002886,0.357,1.456,256.81
21,"InChI=1S/C4F8/c5-1(6)2(7,8)4(11,12)3(1,9)10",octafluorocyclobutane,C4F8,388.38,2777500.0,3099.38,233.35,19460.999999999996,0.20004,0.3553,0.0,267.175
22,"InChI=1S/C6F14/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)20",perfluorohexane,C6F14,448.0,1741599.9999999998,1825.0,187.07,4.133,0.3380419999999999,0.497,0.0,330.274
23,InChI=1S/CHClF2/c2-1(3)4/h1H,chlorodifluoromethane,CHClF2,369.295,4990000.0,6058.22,115.73,0.3792999999999999,0.086468,0.22082,1.458,232.34
24,"InChI=1S/C2HClF4/c3-1(4)2(5,6)7/h1H","2-chloro-1,1,1,2-tetrafluoroethane",C2HClF4,395.425,3624295.0,4103.3156,74.0,3.2280000000000004e-11,0.1364749999999999,0.2881,1.469,261.187
25,"InChI=1S/CF4/c2-1(3,4)5",tetrafluoromethane,CF4,227.51,3750000.0,7109.4194,89.54,101.2,0.08801,0.1785,0.0,145.1
26,InChI=1S/CH2F2/c2-1-3/h1H2,difluoromethane,CH2F2,351.255,5782000.0,8150.084599999999,136.34,48.0,0.052024,0.2769,1.978,221.499
27,"InChI=1S/C2F6/c3-1(4,5)2(6,7)8",hexafluoroethane,C2F6,293.03,3048000.0,4444.0,173.1,26079.999999999996,0.13801182,0.2566,0.0,195.06
28,"InChI=1S/C2H3F3O/c1-6-2(3,4)5/h1H3",trifluoromethoxymethane,C2H3F3O,377.921,3635000.0,4648.140744,240.0,65349.99999999999,0.1000398,0.289,2.48,249.572
29,"InChI=1S/C2H3Cl/c1-2-3/h2H,1H2",chloroethene,C2H3Cl,424.964,5590300.0,5620.0,119.31,0.0649,0.06249822,0.161,1.45103,259.443
30,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,"(E)-1,2-dichloroethene",C2H2Cl2,,,,,,,,,
31,"InChI=1S/C4F10/c5-1(6,3(9,10)11)2(7,8)4(12,13)14",decafluorobutane,C4F10,386.326,2322400.0,2637.0,144.0,1.077,0.238027,0.372,0.0,271.123
32,"InChI=1S/C2HCl2F3/c3-1(4)2(5,6)7/h1H","1,1-dichloro-2,2,2-trifluoroethane",C2HCl2F3,456.831,3661800.0,3596.417,166.0,4.202,0.152931,0.28192,1.356,300.973
33,"InChI=1S/CCl2F2/c2-1(3,4)5",dichlorodifluoromethane,CCl2F2,385.12,4136100.000000001,4672.781,116.099,0.2425,0.1209129999999999,0.17948,0.51,243.398
34,"InChI=1S/C3F8/c4-1(5,2(6,7)8)3(9,10)11",octafluoropropane,C3F8,345.02,2640000.0,3340.0,125.45,2.018,0.18801933,0.3172,0.0,236.36
35,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,CClF3,302.0,3879000.0,5580.0,92.0,0.3288,0.104459,0.1723,0.51,191.67
36,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8","1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,487.21,3392199.9999999995,2988.659,236.93,1871.0,0.187375,0.25253,0.803,320.735
37,"InChI=1S/C3F6/c4-1(2(5)6)3(7,8)9",hexafluoropropene,C3F6,358.9,3149527.9999999995,3888.8,117.654,0.0936,0.1500225192,0.333,1.088,242.81
38,"InChI=1S/C3H3F5O/c1-9-3(7,8)2(4,5)6/h1H3",methyl pentafluoroethyl ether,C3H3F5O,406.813,2886400.0,3329.0,250.0,27670.0,0.150047336,0.354,2.785,278.76
39,"InChI=1S/C4H3F7O/c1-12-4(10,11)2(5,6)3(7,8)9/h1H3",heptafluoropropyl methyl ether,C4H3F7O,437.7,2478199.9999999995,2640.0,150.65,0.05707,0.2000548424,0.403,3.13,307.328
40,"InChI=1S/C2H3Cl2F/c1-2(3,4)5/h1H3","1,1-dichloro-1-fluoroethane",C2H3Cl2F,477.5,4212000.0,3920.999999999999,169.68,6.492,0.11694962,0.2195,2.014,305.2
41,"InChI=1S/C3H2F6/c4-2(5,6)1-3(7,8)9/h1H2","1,1,1,3,3,3-hexafluoropropane",C3H2F6,398.07,3200000.0,3626.0,179.6,160.29999999999998,0.1520384,0.377,1.982,271.66
42,"InChI=1S/C3H3F5/c4-1-3(7,8)2(5)6/h2H,1H2","1,1,2,2,3-pentafluoropropane",C3H3F5,447.57,3940699.999999999,3920.0,196.0,118.3,0.13404794,0.355,1.74,298.412
43,"InChI=1S/C3H3F5/c4-2(5)1-3(6,7)8/h2H,1H2","1,1,1,3,3-pentafluoropropane",C3H3F5,427.01,3651000.0,3875.0,170.0,11.86,0.13404794,0.3783,1.549,288.198
44,"InChI=1S/CF3I/c2-1(3,4)5",trifluoroiodomethane,CF3I,396.44,3953000.0,4430.6,195.15,4884.400000000001,0.1959104,0.176,0.92,251.291
45,InChI=1S/CH3F/c1-2/h1H3,fluoromethane,CH3F,317.28,5897000.0,9300.0,129.82,344.99999999999994,0.03403292,0.2004,1.851,194.84
46,"InChI=1S/C2ClF5/c3-1(4,5)2(6,7)8","1-chloro-1,1,2,2,2-pentafluoroethane",C2ClF5,353.1,3129000.0,3980.0,173.75,2213.0,0.154466416,0.248,0.52,233.932
47,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8","1,2-dichloro-1,1,2,2-tetrafluoroethane",C2Cl2F4,418.83,3257000.0,3393.2000000000003,180.63,202.1,0.170921,0.2523,0.658,276.741
48,"InChI=1S/CCl3F/c2-1(3,4)5",trichlorofluoromethane,CCl3F,471.11,4407638.0,4032.962,162.68,6.51,0.137368,0.18875,0.45,296.858
49,"InChI=1S/C4H5F5/c1-3(5,6)2-4(7,8)9/h2H2,1H3","1,1,1,3,3-pentafluorobutane",C4H5F5,460.0,3266000.0,3200.0,239.0,2478.0,0.14807452,0.377,3.807,313.343
50,"InChI=1S/C6F12O/c7-2(4(10,11)12,5(13,14)15)1(19)3(8,9)6(16,17)18",dodecafluoro-2-methylpentan-3-one,C6F12O,441.81,1869000.0,1920.0,165.0,0.2314999999999999,0.3160444,0.471,0.43,322.202
51,"InChI=1S/C5F12/c6-1(7,2(8,9)4(12,13)14)3(10,11)5(15,16)17",perfluoropentane,C5F12,421.0,2063000.0,2170.0,148.21,0.1064,0.288034,0.436,0.0,302.453
52,"InChI=1S/C3H3F5O/c4-2(5)9-1-3(6,7)8/h2H,1H2","1,1,1-trifluoro-2-(difluoromethoxy)ethane",C3H3F5O,444.88,3433000.0,3432.258,250.0,8272.0,0.150047336,0.387,1.631,302.4
53,InChI=1S/CHCl2F/c2-1(3)4/h1H,dichlorofluoromethane,CHCl2F,451.48,5181200.0,5110.7656,142.8,0.06828,0.10292,0.2061,1.37,282.01
54,InChI=1S/C2HF3/c3-1-2(4)5/h1H,trifluoroethene,C2HF3,331.73,4542600.0,6000.0,200.0,42000.0,0.08202455,0.261,1.4,214.06
55,InChI=1S/C2H2F2/c1-2(3)4/h1H2,"1,1-difluoroethene",C2H2F2,,,,,,,,,
56,"InChI=1S/C3H2F4/c1-2(4)3(5,6)7/h1H2","2,3,3,3-tetrafluoro-1-propene",C3H2F4,367.85,3382199.9999999995,4170.0,122.77,0.738,0.1140415928,0.276,2.48,243.665
57,"InChI=1S/C3H2F4/c4-2-1-3(5,6)7/h1-2H/b2-1+","trans-1,3,3,3-tetrafluoropropene",C3H2F4,382.513,3634900.0,4290.0,169.0,228.6,0.1140416,0.313,1.27,254.177
58,"InChI=1S/C3H3F3/c1-2-3(4,5)6/h2H,1H2","1,1,1-trifluoro-2-propene",C3H3F3,376.93,3517900.0,4300.0,200.0,7307.0,0.09605113,0.2604,2.43,247.726
59,"InChI=1S/C3HClF4/c4-1-2(5)3(6,7)8/h1H/b2-1-","(Z)-1-chloro-2,3,3,3-tetrafluoropropene",C3HClF4,428.69,3337000.0,3549.9999999999995,263.0,35163.6,0.1484867,0.322,1.47,287.767
60,"InChI=1S/C4H2F6/c5-3(6,7)1-2-4(8,9)10/h1-2H/b2-1+","trans-1,1,1,4,4,4-hexafluoro-2-butene",C4H2F6,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0
61,"InChI=1S/C3H2F4/c4-2-1-3(5,6)7/h1-2H/b2-1-","(Z)-1,3,3,3-tetrafluoro-1-propene",C3H2F4,423.27,3530600.0,4000.0,238.0,11942.0,0.1140416,0.327,2.9,282.878
62,"InChI=1S/C3H2ClF3/c4-2-1-3(5,6)7/h1-2H/b2-1+","(E)-1-chloro-3,3,3-trifluoroprop-1-ene",C3H2ClF3,439.6,3623699.999999999,3680.0,195.15,273.29999999999995,0.1304961999999999,0.3025,1.12,291.413
63,"InChI=1S/C4H2F6/c5-3(6,7)1-2-4(8,9)10/h1-2H/b2-1-","(Z)-1,1,1,4,4,4-hexafluorobut-2-ene",C4H2F6,444.5,2903000.0,3044.0,182.65,18.08,0.164056,0.386,2.92,306.603
64,InChI=1S/C2H2F2/c3-1-2-4/h1-2H/b2-1+,"(E)-1,2-difluoroethene",C2H2F2,,,,,,,,,
